,name,sector,location,rating,reviews,jobs
0,TCS,IT Services & Consulting ,Bengaluru +441 other locations,3.3,1.1L,4.4k
1,Accenture,IT Services & Consulting ,Bengaluru +259 other locations,3.7,73.1k,35.7k
2,Wipro,IT Services & Consulting ,Hyderabad +373 other locations,3.6,64.8k,367
3,Cognizant,IT Services & Consulting ,Hyderabad +231 other locations,3.7,61.2k,466
4,Capgemini,IT Services & Consulting ,Bengaluru +180 other locations,3.6,53k,2.1k
5,HDFC Bank,Banking ,Mumbai +1844 other locations,3.8,52k,297
6,Infosys,IT Services & Consulting ,Bengaluru +243 other locations,3.5,48.6k,2.2k
7,HCLTech,IT Services & Consulting ,Chennai +231 other locations,3.4,45.8k,232
8,ICICI Bank,Banking ,Mumbai +1442 other locations,4.0,45.7k,14
9,Tech Mahindra,IT Services & Consulting ,Hyderabad +322 other locations,3.4,43.1k,610
10,Genpact,Analytics & KPO ,Hyderabad +181 other locations,3.6,42k,840
11,TP,BPO ,Mumbai +254 other locations,3.8,38.2k,1.6k
12,Jio,Telecom ,Mumbai +1956 other locations,4.4,33.5k,--
13,Axis Bank,Banking ,Mumbai +1516 other locations,3.6,33k,211
14,Concentrix Corporation,BPO ,Bengaluru +181 other locations,3.6,32.1k,9
15,Amazon,Internet ,Bengaluru +515 other locations,3.9,31.3k,2.6k
16,Reliance Retail,Retail ,Mumbai +1157 other locations,3.9,27.2k,121
17,iEnergizer,BPO ,Noida +51 other locations,4.6,26.9k,93
18,LTIMindtree,IT Services & Consulting ,Bengaluru +144 other locations,3.6,26.4k,561
19,IBM,IT Services & Consulting ,Bengaluru +161 other locations,3.9,25.7k,2k
20,HDB Financial Services,NBFC ,Mumbai +1090 other locations,3.9,25.5k,2.1k
21,Larsen & Toubro Limited,Engineering & Construction ,Chennai +761 other locations,3.9,23.8k,258
22,Deloitte,Management Consulting ,Hyderabad +182 other locations,3.7,23k,2k
23,Kotak Mahindra Bank,Banking ,Mumbai +689 other locations,3.6,22.3k,163
24,Reliance Industries,Oil & Gas ,Jamnagar +819 other locations,4.0,20.1k,70
25,Vodafone Idea,Telecom ,Pune +704 other locations,3.9,17.5k,79
26,Bharti Airtel,Telecom ,Gurugram +788 other locations,3.8,17k,188
27,BYJU'S,EdTech ,Bengaluru +321 other locations,3.2,16.3k,1
28,WNS,IT Services & Consulting ,Pune +65 other locations,3.3,15.2k,100
29,IDFC FIRST Bank,Banking ,Mumbai +724 other locations,3.9,14.5k,31
30,Ernst & Young,Management Consulting ,Bengaluru +134 other locations,3.4,14.5k,5.2k
31,IndusInd Bank,Banking ,Mumbai +796 other locations,3.4,14.2k,135
32,AU Small Finance Bank,Banking ,Jaipur +798 other locations,3.8,14.2k,222
33,Tata Motors,Automobile ,Pune +507 other locations,4.1,14.1k,181
34,Muthoot FinCorp,NBFC ,Bengaluru +1120 other locations,4.6,13.1k,65
35,Bajaj Finserv,NBFC ,Pune +1190 other locations,4.0,13k,2
36,Flipkart,Internet ,Bengaluru +553 other locations,3.9,12.9k,103
37,PwC,Management Consulting ,Bengaluru +135 other locations,3.3,12.5k,1.2k
38,Mahindra & Mahindra,Automobile ,Pune +565 other locations,4.0,12k,2
39,Infosys BPM,BPO ,Bengaluru +95 other locations,3.5,12k,62
40,HDFC Life,Insurance ,Mumbai +712 other locations,3.9,12k,109
41,DXC Technology,IT Services & Consulting ,Bengaluru +130 other locations,3.6,11.9k,192
42,Bandhan Bank,Banking ,Kolkata +1007 other locations,3.7,11k,19
43,Digitide Solutions,IT Services & Consulting ,Hyderabad +272 other locations,3.5,10.3k,328
44,Mphasis,IT Services & Consulting ,Bengaluru +64 other locations,3.3,10.2k,56
45,Yes Bank,Banking ,Mumbai +541 other locations,3.7,10.1k,193
46,Tata Steel,Iron & Steel ,Jamshedpur +226 other locations,4.0,9.8k,--
47,Quess,Recruitment ,Bengaluru +755 other locations,3.8,9.7k,33
48,Asian Paints,Chemicals ,Mumbai +556 other locations,3.9,9.5k,100
49,Maruti Suzuki,Automobile ,Gurugram +455 other locations,4.1,9.5k,728
